"City","report_date","yoy_pct_change","State","Country"
"Boston",2020-03-08,0.1,"Massachusetts","United States"
"Minneapolis",2020-03-08,0.23,"Minnesota","United States"
"Las Vegas",2020-03-08,-0.08,"Nevada","United States"
"New York",2020-03-08,-0.04,"New York","United States"
"Charlotte",2020-03-08,-0.1,"North Carolina","United States"
"Raleigh",2020-03-08,-0.11,"North Carolina","United States"
"Cincinnati",2020-03-08,-0.23,"Ohio","United States"
"Columbus",2020-03-08,0.03,"Ohio","United States"
"Portland",2020-03-08,0.05,"Oregon","United States"
"Philadelphia",2020-03-08,0.03,"Pennsylvania","United States"
"Pittsburgh",2020-03-08,0.01,"Pennsylvania","United States"
"Nashville",2020-03-08,-0.04,"Tennessee","United States"
"Austin",2020-03-08,-0.23,"Texas","United States"
"Dallas",2020-03-08,-0.02,"Texas","United States"
"Houston",2020-03-08,0.07,"Texas","United States"
"San Antonio",2020-03-08,-0.23,"Texas","United States"
"Seattle",2020-03-08,-0.25,"Washington","United States"
"Calgary",2020-03-07,-0.1,"Alberta","Canada"
"Edmonton",2020-03-07,-0.14,"Alberta","Canada"
"Vancouver",2020-03-07,-0.15,"British Columbia","Canada"
"Toronto",2020-03-07,-0.07,"Ontario","Canada"
"Montréal",2020-03-07,0.14,"Quebec","Canada"
"Hamburg",2020-03-07,0.04,"","Germany"
"München",2020-03-07,0.13,"","Germany"
"Dublin",2020-03-07,-0.04,"","Ireland"
"Ciudad de México",2020-03-07,-0.01,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-07,0.19,"Nuevo Leon","Mexico"
"London",2020-03-07,-0.07,"","United Kingdom"
"Phoenix",2020-03-07,-0.06,"Arizona","United States"
"Scottsdale",2020-03-07,-0.01,"Arizona","United States"
"Los Angeles",2020-03-07,-0.02,"California","United States"
"San Diego",2020-03-07,-0.01,"California","United States"
"San Francisco",2020-03-07,-0.18,"California","United States"
"Denver",2020-03-07,-0.06,"Colorado","United States"
"Washington",2020-03-07,0.01,"District of Columbia","United States"
"Fort Lauderdale",2020-03-07,-0.03,"Florida","United States"
"Miami",2020-03-07,-0.02,"Florida","United States"
"Miami Beach",2020-03-07,-0.03,"Florida","United States"
"Naples",2020-03-07,0.02,"Florida","United States"
"Orlando",2020-03-07,0.01,"Florida","United States"
"Tampa",2020-03-07,0,"Florida","United States"
"Atlanta",2020-03-07,0.01,"Georgia","United States"
"Honolulu",2020-03-07,-0.09,"Hawaii","United States"
"Chicago",2020-03-07,0.04,"Illinois","United States"
"Indianapolis",2020-03-07,0.01,"Indiana","United States"
"Louisville",2020-03-07,-0.05,"Kentucky","United States"
"New Orleans",2020-03-07,0.03,"Louisiana","United States"
"Baltimore",2020-03-07,0.14,"Maryland","United States"
"Boston",2020-03-07,-0.01,"Massachusetts","United States"
"Minneapolis",2020-03-07,0.61,"Minnesota","United States"
"Las Vegas",2020-03-07,-0.07,"Nevada","United States"
"New York",2020-03-07,-0.1,"New York","United States"
"Charlotte",2020-03-07,-0.05,"North Carolina","United States"
"Raleigh",2020-03-07,-0.09,"North Carolina","United States"
"Cincinnati",2020-03-07,-0.14,"Ohio","United States"
"Columbus",2020-03-07,-0.05,"Ohio","United States"
"Portland",2020-03-07,-0.03,"Oregon","United States"
"Philadelphia",2020-03-07,0.01,"Pennsylvania","United States"
"Pittsburgh",2020-03-07,0.09,"Pennsylvania","United States"
"Nashville",2020-03-07,0.05,"Tennessee","United States"
"Austin",2020-03-07,-0.13,"Texas","United States"
"Dallas",2020-03-07,-0.01,"Texas","United States"
"Houston",2020-03-07,0.1,"Texas","United States"
"San Antonio",2020-03-07,-0.15,"Texas","United States"
"Seattle",2020-03-07,-0.35,"Washington","United States"
"Calgary",2020-03-06,0.02,"Alberta","Canada"
"Edmonton",2020-03-06,0.05,"Alberta","Canada"
"Vancouver",2020-03-06,-0.05,"British Columbia","Canada"
"Toronto",2020-03-06,-0.15,"Ontario","Canada"
"Montréal",2020-03-06,0.07,"Quebec","Canada"
